c_personid,c_sequence,c_status_code,c_status_desc,c_status_desc_chn,c_firstyear,c_lastyear,c_source,c_pages,c_notes
40301,0,52,literati,士人,,,7596,4406,
40302,0,8,buddhist monk,僧人,,,7596,24700,
40303,0,61,military,[武官],,,0,,
40305,0,40,civil office,[為官者：文],,,0,,
40306,0,8,buddhist monk,僧人,,,7596,24699,
40306,0,71,painter,畫家,,,7596,24699,
40307,0,8,buddhist monk,僧人,,,7596,24698,
40308,0,8,buddhist monk,僧人,,,7596,24697,
40309,0,48,ruler,統治者,,,7596,4186,
40310,0,8,buddhist monk,僧人,,,7596,24696,
40313,0,8,buddhist monk,僧人,,,0,,
40315,0,40,civil office,[為官者：文],,,0,,
40316,0,8,buddhist monk,僧人,,,7596,24695,
40317,0,8,buddhist monk,僧人,,,7596,24694,
40318,0,76,recluse,[隱士],,,0,,
40321,0,2,army officer,武將,,,0,,
40322,0,137,outer noblewoman,[外命婦],,,0,,特封咸安郡夫人制(鶴林集10/20下)
40324,0,52,literati,士人,,,7596,4458,
40324,0,140,chaste widow,貞婦,,,0,,
40325,0,8,buddhist monk,僧人,,,7596,24693,
40326,0,8,buddhist monk,僧人,,,7596,24692,
40328,0,8,buddhist monk,僧人,,,7596,24691,
40328,0,71,painter,畫家,,,7596,24691,
40328,0,114,poet,詩人,,,7596,24691,
40329,0,68,office: finance,[財政官員],,,0,,
40331,0,8,buddhist monk,僧人,,,7596,24690,
40332,0,8,buddhist monk,僧人,,,7596,24134,
40333,0,238,rhapsody writer,工於作賦,,,7596,14138,
40334,0,137,outer noblewoman,[外命婦],,,0,,贈令人制(東窗集7/32下)
40335,0,8,buddhist monk,僧人,,,7596,24689,
40336,0,137,outer noblewoman,[外命婦],,,0,,封令人制(東窗集7/32下)
40338,0,8,buddhist monk,僧人,,,7596,24688,
40338,0,71,painter,畫家,,,0,,
40339,0,8,buddhist monk,僧人,,,7596,24687,
40341,0,141,dynastic martyr,死國難,,,0,,
40345,0,136,student: xianggong jinshi,[鄉貢進士],,,0,,嘉定十五年解試
40346,0,233,skilled at writing,工於文,,,24309,pers01253,《全唐文・卷891》(據唐代人物知識ベース)。
40347,0,8,buddhist monk,僧人,,,7596,24686,
40348,0,40,civil office,[為官者：文],,,0,,
40349,0,119,chose not to participate in exams,主動放棄科舉,,,7596,4094,
40354,0,8,buddhist monk,僧人,,,7596,24685,
40354,0,71,painter,畫家,,,0,,畫翎毛蘆雁，甚不俗。
40355,0,40,civil office,[為官者：文],,,0,,
40356,0,8,buddhist monk,僧人,,,7596,24684,
40359,0,8,buddhist monk,僧人,,,7596,24683,
40360,0,71,painter,畫家,,,0,,畫牛得名，作斜陽芳草村落荒間之趣。雖望戴嵩不及，而亦後來名家。
40362,0,147,filial son/daughter,孝子/孝女,,,7596,4462,
40364,0,8,buddhist monk,僧人,,,7596,24682,
40366,0,8,buddhist monk,僧人,,,7596,24681,
