source_id,source_name,target_id,target_name,category,detail_types
10598,王十朋,628,富弼,其他,為Y作畫贊(畫像記)|畫贊(畫像記)由Y所作
10598,王十朋,630,韓琦,其他,為Y作畫贊(畫像記)|畫贊(畫像記)由Y所作
10598,王十朋,1384,歐陽修,其他,為Y作畫贊(畫像記)|畫贊(畫像記)由Y所作
10598,王十朋,1488,司馬光,其他,為Y作畫贊(畫像記)|畫贊(畫像記)由Y所作
10598,王十朋,1493,蘇轍,其他,為Y作畫贊(畫像記)|畫贊(畫像記)由Y所作
10598,王十朋,1953,文彥博,其他,為Y作畫贊(畫像記)|畫贊(畫像記)由Y所作
10598,王十朋,3767,蘇軾,其他,為Y作畫贊(畫像記)|畫贊(畫像記)由Y所作
41322,李無晦,1493,蘇轍,其他,建築物得到Y的題詠、記、命名|為Y之建築物題詠、記、命名
41322,李無晦,3767,蘇軾,其他,建築物得到Y的題詠、記、命名|為Y之建築物題詠、記、命名
49518,楊世昌,3767,蘇軾,其他,與Y遊
375,趙抃,13213,毛維瞻,其他,友|同會
375,趙抃,22106,聞人安道,友人,友
375,趙抃,10173,文同,其他,廟碑記由Y所作|建築物得到Y的題詠、記、命名|書序由Y所作|為Y之建築物題詠、記、命名|為Y作廟碑記|為Y作臨別贈言(送別詩、序)|為Y作道觀記|為Y所著書作序|臨別得到Y所作贈言(送別詩、序)|致書Y|被致書由Y|道觀記由Y所作
375,趙抃,12988,楊傑,文學交往,書序由Y所作|為Y所著書作序
375,趙抃,3767,蘇軾,其他,墓誌銘由Y所作|廟碑記由Y所作|為Y作墓誌銘|為Y作廟碑記|為Y作神道碑|神道碑由Y所作
375,趙抃,3029,晁說之,文學交往,書跋由Y所作|為Y所著書作跋
375,趙抃,3257,朱熹,其他,書跋由Y所作|為Y作祠記|為Y所著書作跋|祠記由Y所作
375,趙抃,3595,劉克莊,文學交往,書跋由Y所作|為Y所著書作跋
375,趙抃,3624,樓鑰,文學交往,書跋由Y所作|為Y所著書作跋
375,趙抃,7197,周必大,文學交往,書跋由Y所作|為Y所著書作跋
375,趙抃,8078,李綱,文學交往,書跋由Y所作|為Y所著書作跋
375,趙抃,1762,王安石,其他,不合
375,趙抃,53069,釋元淨,其他,相唱和
375,趙抃,1453,沈遼,文學交往,致書Y|被致書由Y
375,趙抃,3762,蘇洵,文學交往,致書Y|被致書由Y
375,趙抃,628,富弼,文學交往,收到Y的答書|答Y書
375,趙抃,1493,蘇轍,其他,建築物得到Y的題詠、記、命名|為Y之建築物題詠、記、命名
375,趙抃,7364,曾鞏,其他,建築物得到Y的題詠、記、命名|為Y之建築物題詠、記、命名
96642,張逢,3767,蘇軾,文學交往,致書Y|被致書由Y
53639,釋惠勤,1384,歐陽修,師生,學生為Y|為Y之學生
53639,釋惠勤,3767,蘇軾,文學交往,書序由Y所作|為Y所著書作序
395,趙鼎臣,1762,王安石,友人,友
395,趙鼎臣,9004,趙禎,文學交往,書序由Y所作|為Y所著書作序
