personid,name,degree,new_camp_connections,old_camp_connections,main_relation_types
25030,孫諤,4,1,1,為Y所忌/惡; 忌/惡; 書跋由Y所作; 為Y所著書作跋
586,范子奇,3,1,1,同僚; 致書Y; 被致書由Y
595,方宙,6,1,1,支持; 得到Y的支持; 推薦; 被Y推薦
748,徐九思,5,1,1,與Y結黨; 遭Y排擠; 排擠; 其政策被Y反對/不支持; 反對/不支持Y的政策
1085,李壽朋,3,1,1,推薦; 被Y推薦; 為Y作祭文; 祭文由Y所作
1571,宋敏求,14,1,1,書序由Y所作; 為Y所著書作序; 致書Y; 被致書由Y
1789,王兢,6,1,1,為Y所辟; 辟; 為Y之建築物題詠、記、命名; 建築物得到Y的題詠、記、命名
7053,呂誨,8,1,1,墓誌銘由Y所作; 書序由Y所作; 祭文由Y所作; 為Y所著書作序; 為Y作祭文
3672,毛滂,25,1,1,致書Y; 被致書由Y; 收到Y的答書; 答Y書; 推薦
8030,鄭雍,4,1,1,反對/攻訐; 遭到Y的反對/攻訐; 致書Y; 被致書由Y
10660,劉涇,3,1,1,推薦; 被Y推薦; 答Y書; 收到Y的答書
8118,孫沔,18,1,1,致書Y; 答Y書; 被致書由Y; 收到Y的答書; 為Y之建築物題詠、記、命名
15744,孫甫,10,1,1,書跋由Y所作; 為Y所著書作跋; 致書Y; 被致書由Y
8119,宋庠,29,1,1,致書Y; 被致書由Y; 建築物得到Y的題詠、記、命名; 為Y之建築物題詠、記、命名
8136,曾公亮,13,1,1,致書Y; 被致書由Y; 祭文由Y所作; 同僚; 為Y作祭文
43985,段縫,3,1,1,答Y書; 收到Y的答書; 致書Y; 被致書由Y
14,晁端彥,4,1,1,反對/攻訐; 遭到Y的反對/攻訐; 致書Y; 被致書由Y
18486,檀固,7,1,1,支持; 排擠; 得到Y的支持; 遭Y排擠; 反對/攻訐
24987,王公彥,2,1,1,支持; 被Y欣賞/器重; 得到Y的支持; 欣賞/器重; 反對/攻訐
781,許將,6,1,1,反對/攻訐; 遭到Y的反對/攻訐; 其政策被Y反對/不支持; 反對/不支持Y的政策
25203,趙粹中,6,1,1,支持; 得到Y的支持; 反對/攻訐; 遭到Y的反對/攻訐
1635,刁約,8,1,1,為Y作祭文; 祭文由Y所作; 致書Y; 被致書由Y
16667,朱壽昌,5,1,1,被Y欣賞/器重; 欣賞/器重; 畫贊(畫像記)由Y所作; 致書Y; 為Y作畫贊(畫像記)
47587,陳輔,2,1,1,為Y之學生; 學生為Y; 致書Y; 被Y欣賞/器重; 欣賞/器重
38678,石汝礪,4,1,1,排擠; 遭Y排擠; 其學為Y所排; 排Y之學; 論學
12988,楊傑,39,1,1,從Y遊; 從遊者為Y; 為Y篆匾額、器銘; 匾額、器銘由Y所篆
43523,俞紫琳,3,1,1,門人為Y; 為Y之門人; 詩文跋由Y所作; 為Y之詩文作跋; 贈畫
8126,鄧潤甫,8,1,1,其政策被Y反對/不支持; 反對/不支持Y的政策; 致書Y; 被致書由Y
26614,王沇之,3,1,1,從Y學; 教授Y; 為Y之學生; 學生為Y; 為Y作哀辭
27578,孟厚,4,1,1,從Y遊; 從遊者為Y; 為Y之學生; 學生為Y
20840,邵材,2,1,1,支持; 得到Y的支持; 其政策被Y反對/不支持; 反對/不支持Y的政策
122,程師孟,6,1,1,致書Y; 收到Y的啓; 被致書由Y; 致Y啓; 某事由Y所乞
2020,楊蟠,6,1,1,致書Y; 被致書由Y; 相唱和
2026,楊畋,3,1,1,書序由Y所作; 為Y所著書作序; 為Y作哀辭; 哀辭由Y所作
37205,曾耒,23,1,1,書跋由Y所作; 為Y所著書作跋
3746,司馬沂,4,1,1,為Y作行狀; 墓誌銘由Y所作; 為Y作墓誌銘; 行狀由Y所作; 為Y作墓表
1865,王韶,5,1,1,致書Y; 被致書由Y; 為Y作祭文; 墓誌銘由Y所作; 祭文由Y所作
7363,曾易占,4,1,1,為Y作祭文; 墓誌銘由Y所作; 祭文由Y所作; 為Y作墓誌銘; 為Y之建築物題詠、記、命名
2007,楊繪,6,1,1,得罪Y; 被Y得罪; 致書Y; 被致書由Y; 建築物得到Y的題詠、記、命名
145,錢勰,6,1,1,其政策被Y反對/不支持; 反對/不支持Y的政策; 致書Y; 被致書由Y
27769,郭祥正,15,1,1,致書Y; 被致書由Y
1195,劉奉世,5,1,1,拒絕在Y的主政期出仕; 拒絕在Y主政的政府中任職; 致書Y; 被致書由Y
53511,釋清順,2,1,1,稱道Y的詩作; 詩作為Y所稱道; 相唱和
49380,楊跡,2,1,1,其學為Y所排; 排Y之學; 論學
40419,釋懷璉,5,1,1,建築物得到Y的題詠、記、命名; 為Y之建築物題詠、記、命名; 為Y作佛寺記; 佛寺記由Y所作; 祭文由Y所作
21820,錢顗,4,1,1,其政策被Y反對/不支持; 反對/不支持Y的政策; 收到Y的贈詩、文; 贈詩、文
48355,馮守信,2,1,1,諡議由Y所作; 為Y作諡議; 神道碑由Y所作; 為Y作神道碑
15992,黃隱,2,1,1,私淑Y之學; 其學為Y所私淑; 其學為Y所排; 排Y之學
