dynasty,addr_chn,count,avg_lat,median_lat
清,河南省諸道區,2,,
清,洪洞,2,36.259399,36.259399
清,海城,2,40.849636078,40.849636078
清,海寧,2,30.40628,30.40628
清,海寧州,2,30.406280518,30.406280518
清,海州直隸州,2,34.570053101,34.570053101
清,海門直隸廳,2,31.893732071,31.893732071
清,清江,2,28.0155678435,28.0155678435
清,渮澤,2,35.25025177,35.25025177
清,湖廣下荊南道,2,,
清,湘潭,2,27.87269783,27.87269783
清,漢中府,2,33.076480865,33.076480865
清,潮州府,2,23.667705536,23.667705536
清,潯州府,2,23.394571304,23.394571304
清,濟寧州,2,35.410430908,35.410430908
清,無為州,2,31.29851532,31.29851532
清,玉屏,2,27.235931396,27.235931396
清,益都,2,36.69748,36.69748
清,益陽,2,28.597808838,28.597808838
清,真定,2,38.14011,38.14011
清,確山,2,32.807674408,32.807674408
清,章丘,2,36.75417,36.75417
清,紹興,2,,
清,膠州,2,36.30002594,36.30002594
清,臨海,2,28.843132019,28.843132019
清,興化,2,32.934967,32.934967
清,興寧,2,24.138690948,24.138690948
清,華陰,2,34.56831,34.56831
清,萊陽,2,36.971165,36.971165
清,萍鄉,2,27.63142395,27.63142395
清,蔚縣,2,,
清,薊縣,2,,
清,蘆溪鋪,2,27.631424,27.631424
清,蘭溪,2,29.204453,29.204453
清,衡州府,2,26.90161705,26.90161705
清,襄陽,2,32.013473511,32.013473511
清,襄陽府,2,32.013473511,32.013473511
清,西安,2,28.956821442,28.956821442
清,豐城,2,28.197753953,28.197753953
清,趙州直隸州直轄地方,2,37.752925873,37.752925873
清,趙縣,2,,
清,通州直隸州,2,32.010471344,32.010471344
清,通縣,2,,
清,進賢,2,28.3644848935,28.3644848935
清,遂寧,2,30.194462,30.194462
清,遷安,2,40.008872986,40.008872986
清,鄒縣,2,35.403820038,35.403820038
清,金華,2,29.1047117665,29.1047117665
清,錦衣衛,2,39.93143,39.93143
清,鎮安,2,33.431842804,33.431842804
清,鎮江府,2,32.206489563,32.206489563
清,鎮海,2,29.953701019,29.953701019
清,長安,2,34.266605377,34.266605377
清,長興,2,31.013893127,31.013893127
清,陽湖,2,31.782783508,31.782783508
清,雲南,2,25.479091644,25.479091644
清,青浦,2,31.144771576,31.144771576
清,青陽,2,30.636638641,30.636638641
清,靜海,2,38.934357,38.934357
清,順德,2,22.847860168,22.847860168
清,高陽,2,38.688908,38.688908
清,上清鋪,1,27.910084,27.910084
清,上猶,1,25.796443939,25.796443939
清,中江,1,31.044277191,31.044277191
清,乌噜木齊直隸廳,1,,
清,五臺,1,38.71900177,38.71900177
清,井研,1,29.65851,29.65851
清,交城,1,37.543998718,37.543998718
清,交河,1,38.017044,38.017044
清,介休,1,37.026474,37.026474
清,任縣,1,37.126075745,37.126075745
清,伊犁府,1,44.051719666,44.051719666
清,來安,1,32.452388763,32.452388763
清,侯官,1,26.073954,26.073954
清,俄羅斯國,1,,
清,保安州,1,40.376556396,40.376556396
清,保寧府,1,31.583143234,31.583143234
清,保德州,1,39.01240921,39.01240921
清,信陽,1,32.131119,32.131119
清,八旗,1,,
清,公安,1,30.057533,30.057533
清,内蒙古地方,1,,
清,利津,1,37.49131012,37.49131012
清,南京市,1,,
清,南城,1,27.559717,27.559717
清,南安府,1,25.399953842,25.399953842
清,南宮,1,37.359153748,37.359153748
清,南寧府,1,22.806144714,22.806144714
清,南海,1,23.134624481,23.134624481
清,南皮,1,38.037567139,38.037567139
清,南雄直隸州,1,25.118843079,25.118843079
清,博野,1,38.457569122,38.457569122
清,吉水,1,27.214367,27.214367
清,吳川,1,21.350585938,21.350585938
清,和州直隸州,1,31.714223862,31.714223862
清,咸陽,1,34.339054108,34.339054108
清,哈密直隸廳,1,42.819061279,42.819061279
清,唐山,1,37.339809418,37.339809418
清,商城,1,31.803518,31.803518
清,單縣,1,34.797901154,34.797901154
清,嘉祥,1,35.400688,35.400688
清,四川省諸道區,1,,
清,土默特左旗,1,,
清,壽光,1,36.879799,36.879799
清,大同府,1,40.092838287,40.092838287
清,大名,1,36.24564,36.24564
清,大城,1,38.695866,38.695866
清,大寧,1,31.406133652,31.406133652
清,大田,1,25.692293167,25.692293167
清,天台,1,29.13825798,29.13825798
清,天城衛,1,40.41579,40.41579
清,天津衛,1,39.145165,39.145165
清,太原,1,37.873748779,37.873748779
清,太原府,1,37.873752594,37.873752594
清,太平直隸廳,1,32.069965363,32.069965363
清,奉天府,1,41.788249969,41.788249969
清,奉新,1,28.70723,28.70723
清,威縣,1,36.974178314,36.974178314
清,婁縣,1,31.009475708,31.009475708
清,孝義廳,1,33.67956543,33.67956543
清,孟縣,1,34.903179,34.903179
清,安吉州,1,30.720935822,30.720935822
清,安康,1,32.693626404,32.693626404
清,安東,1,33.766373,33.766373
清,安縣,1,31.649504,31.649504
清,安邱,1,36.42905,36.42905
清,完縣,1,38.83322525,38.83322525
清,定州直隸州直轄地方,1,38.520061493,38.520061493
清,宜城,1,31.710701,31.710701
清,宜山,1,24.490730286,24.490730286
清,宜昌府,1,30.704227448,30.704227448
清,宜春,1,27.794266,27.794266
清,宿松,1,30.151212692,30.151212692
清,宿遷,1,33.958301544,33.958301544
清,富平,1,34.754429,34.754429
清,寧夏,1,38.466972,38.466972
清,寧陽,1,35.764396667,35.764396667
清,寶雞,1,34.38187,34.38187
清,岐山,1,34.43963623,34.43963623
清,岳州府,1,29.371259689,29.371259689
清,峨眉,1,29.60173,29.60173
清,川東道,1,,
清,川沙廳,1,31.197154999,31.197154999
清,巢縣,1,31.601736069,31.601736069
清,巫山,1,31.081344604,31.081344604
清,平利,1,32.400501251,32.400501251
清,平樂府,1,24.635726929,24.635726929
清,庫車直隸州,1,41.715538025,41.715538025
清,廓爾喀,1,,
清,廣平府,1,36.70103,36.70103
清,廣東布政司,1,,
清,廣濟,1,30.136482239,30.136482239
清,廣順州,1,26.194824219,26.194824219
清,延平府,1,26.642173767,26.642173767
清,延慶州,1,40.459693909,40.459693909
清,建寧,1,26.832491,26.832491
清,張垣市,1,,
清,彰化,1,24.07657814,24.07657814
清,徐州府,1,34.269634247,34.269634247
清,德化,1,25.476953506,25.476953506
清,德州,1,37.451644897,37.451644897
清,德州衛,1,37.45066,37.45066
清,德平,1,37.463477,37.463477
清,徽州府,1,29.86577034,29.86577034
清,思南府直轄地方,1,27.940149307,27.940149307
清,息縣,1,32.342430115,32.342430115
清,惠安,1,25.022078,25.022078
清,慈溪,1,29.979194641,29.979194641
清,應天府,1,32.052562714,32.052562714
清,懷遠,1,32.95664978,32.95664978
清,成都府,1,30.650384903,30.650384903
清,新喻,1,27.804075,27.804075
清,新城,1,39.245949,39.245949
清,新昌,1,29.494653702,29.494653702
清,新淦,1,,
清,新都,1,30.831390381,30.831390381
清,新陽,1,31.386108398,31.386108398
清,日本國,1,,
清,昭通府,1,27.34327507,27.34327507
清,晉州,1,38.032493591,38.032493591
清,晉江,1,24.909641266,24.909641266
清,普安,1,25.788410187,25.788410187
清,普洱府,1,23.066850662,23.066850662
清,景州,1,37.688007355,37.688007355
清,景德鎮,1,,
清,東安,1,26.332000732,26.332000732
清,東川府,1,26.420562744,26.420562744
清,東平,1,42.669883728,42.669883728
清,東流,1,30.213216782,30.213216782
清,東莞,1,23.04662323,23.04662323
清,東蘭州,1,24.520551682,24.520551682
清,東陽,1,29.260566711,29.260566711
清,松滋,1,30.345695496,30.345695496
清,林縣,1,36.06880188,36.06880188
清,柏鄉,1,37.494689941,37.494689941
清,桃源,1,33.685890198,33.685890198
清,桐廬,1,29.802457809,29.802457809
清,桐鄉,1,30.641677856,30.641677856
清,梓潼,1,31.63843,31.63843
清,梧州府,1,23.486898422,23.486898422
清,棗陽,1,32.132022858,32.132022858
清,榆次,1,37.678466797,37.678466797
清,榮經,1,29.795326233,29.795326233
清,樂平,1,28.964994431,28.964994431
清,樂昌,1,25.134874344,25.134874344
清,樂陵,1,37.737892151,37.737892151
清,橫州,1,22.692956924,22.692956924
清,武功,1,34.332054138,34.332054138
清,武威,1,37.92691803,37.92691803
清,武安,1,36.697582245,36.697582245
清,武岡州,1,26.730705261,26.730705261
清,武陵,1,29.034807,29.034807
清,歸化城直隸廳,1,40.815483093,40.815483093
清,歸化廳,1,25.75327301,25.75327301
清,歸德府,1,34.38505,34.38505
清,歸綏道,1,,
清,水西衛,1,27.025229,27.025229
清,永寧州,1,25.910207748,25.910207748
清,永州府,1,26.210338593,26.210338593
清,永清,1,39.325710297,39.325710297
清,永甯縣縣前鋪,1,26.760475,26.760475
清,永豐,1,27.322114944,27.322114944
清,汀州府,1,25.833381653,25.833381653
清,池州府,1,30.654661179,30.654661179
清,沔州,1,30.189540863,30.189540863
