dynasty,addr_chn,region,count,x_coord,y_coord
宋,寧遠,南,42,111.80669700000001,25.254500190476193
宋,崞縣,北,42,112.751518,38.88332
宋,永興,南,42,113.91291771428571,27.542008666666668
宋,光澤,南,41,117.333252,27.539524
宋,泉州,南,41,118.58990478999999,24.909641266
宋,祥符,北,41,114.34332999999998,34.785477
宋,衡山,南,41,112.85241699999999,27.245646
宋,長子,北,41,112.873794,36.119934
宋,陽安,南,41,104.565246,30.403244000000004
宋,北海,北,40,119.10649900000001,36.702705
宋,新城,南,40,119.30249455,29.5698741
宋,襄邑,北,40,115.06597100000002,34.430504
宋,長社,北,40,113.819748,34.031391
宋,靈壽,北,40,114.36588299999998,38.30547
宋,南康,南,39,114.74516300000002,25.658571
宋,揚子,南,39,119.177627,32.267544
宋,河南,北,39,112.38263000000002,34.665276
宋,睦州,南,39,119.49885558999999,29.544481277000003
宋,弋陽,南,38,117.42131100000002,28.401876000000005
宋,昌國,南,38,122.101097,30.01516
宋,歷城,北,38,117.00148772999998,36.650131226
宋,涇縣,南,38,118.40658600000002,30.68671
宋,郪縣,南,38,105.08757,31.09462
宋,中江,南,37,104.679047,31.044277
宋,德化,南,37,117.56221921621622,26.739102216216217
宋,漳州,南,37,117.653053,24.511744
宋,潮陽,南,37,116.59406300000002,23.260954
宋,瑞州,南,37,115.37227600000001,28.425598
宋,上元,南,36,118.76899,32.052563
宋,建寧,南,36,116.5994143611111,26.991117083333332
宋,旌德,南,36,118.53877199999998,30.291025000000005
宋,濟陰,北,36,115.282862,34.990951
宋,遂安,南,36,118.738399,29.480773
宋,金鄉,北,36,116.30452699999998,35.068165
宋,宜春,南,35,114.398954,27.791904
宋,建平,南,35,119.18147300000001,31.134151
宋,江寧府,南,35,118.76898999999999,32.052563
宋,溧陽,南,35,119.486,31.430706000000004
宋,安溪,南,34,117.07143664705883,25.369243
宋,富陽,南,34,119.947754,30.053434
宋,歷陽,南,34,118.361122,31.714224000000005
宋,汝陰,南,34,115.809013,32.903057
宋,績溪,南,34,118.58410645,30.077772141
宋,襄陽,南,34,112.158699,32.026524
宋,婺州,南,33,119.6499176,29.104711533
宋,東莞,南,33,113.887895,22.63632772727273
宋,河陽,北,33,112.785721,34.840869
宋,湘陰,南,33,112.92826151515152,28.653487878787878
宋,潼川府,南,33,105.08757019,31.094619751000003
宋,閬中,南,33,105.967034,31.583159999999996
宋,偃師,北,32,112.804997,34.720623
宋,太平,南,32,118.123146,30.298552
宋,建州,南,32,118.32378388625,27.038864119
宋,浚儀,北,32,114.34333,34.785477
宋,湘鄉,南,32,112.518746,27.737248
宋,潮州,南,32,116.63665771,23.667705536
宋,耒陽,南,32,112.846886,26.41507
宋,膠水,北,32,119.94828,36.788235
宋,安陸,南,31,113.688919,31.263714
宋,永明,南,31,111.33514945161289,25.266925354838712
宋,潤州,南,31,119.44429016,32.206489563
宋,瀘川,南,31,105.437004,28.884363
宋,祁縣,北,31,112.3153,37.353817
宋,蘇州,南,31,120.61862183,31.312709808
宋,邛州,南,31,103.45682526,30.416589737
宋,鹽亭,南,31,105.376114,31.229305
宋,南充,南,30,106.105835,30.819111
宋,合州,南,30,106.25955,30.00394
宋,宛邱,北,30,114.8824,33.73398
宋,榮州,北,30,110.48323822,35.312034607
宋,興安,南,30,110.665871,25.613132
宋,萬安,南,30,114.779678,26.461771
宋,醴陵,南,30,113.494103,27.668518
宋,嘉興府,南,29,120.753204,30.767469
宋,楚丘,北,29,115.701694,34.704596
宋,樂至,南,29,105.020905,30.286826999999995
宋,虞城,北,29,115.88795300000001,34.510823
宋,南劍州,南,28,118.16918182000002,26.642173767
宋,南部,南,28,106.058586,31.359615
宋,南陵,南,28,118.332405,30.924437
宋,徽州,南,28,118.433945,29.86577
