personid,name,dynasty,one_liner,bio_paragraph,word_count
10245,吳玠,宋,吳玠（?- 1139），宋人，成都人，武官。,吳玠，宋人，籍貫成都。卒於1139年。為武官。一生主要活動於成都、德順軍、隴干、水洛城、清海軍節度。與劉子羽、魏了翁、高萬、盧法原、牛皓等人交遊唱和。,75
27800,陽枋,宋,陽枋（1187-1267），宋人，巴川人，為官者。,陽枋，宋人，籍貫巴川。生於1187年，卒於1267年。為官者。一生主要活動於巴川。與王謹禮、㬊淵、陽恪、陽景春、陽鼐等人交遊唱和。,65
37205,曾耒,宋,曾耒（0-0），宋人，晉江人，為官者。,曾耒，宋人，籍貫晉江。生於0年，卒於0年。為官者。一生主要活動於晉江。與陳景俊、周必大、宋价、范仲藝、釋祖道等人交遊唱和。,61
39257,丘崈,宋,丘崈，宋人，江陰軍人，宰執。,丘崈，宋人，籍貫江陰軍。為宰執。一生主要活動於江陰軍。與劉宰、呂祖謙、虞允文、葉適、衛涇等人交遊唱和。,51
44099,馬遠,宋,馬遠，宋人，錢塘人，畫家。,馬遠，宋人，籍貫錢塘。為畫家。一生主要活動於錢塘、河中府。與林金蘭、邵南、戴璡、范禮、沈希遠等人交遊唱和。,53
49698,董源,宋,董源，宋人，江南人，畫家。,董源，宋人，籍貫江南。為畫家。一生主要活動於江南。與祁豸佳、張文樞、萬弘衟、周鼐、周熙載等人交遊唱和。,51
593,范雍,宋,范雍（979-1046），宋人，洛陽人，藏書家、好金石、財政官員。,范雍，宋人，籍貫洛陽。生於979年，卒於1046年。為藏書家、好金石、財政官員。一生主要活動於洛陽、仁壽、太原。與計用章、楊氏(趙恆妃)、呂夷簡、蕭揔、寇準等人交遊唱和。,85
971,李常,宋,李常（1027-1090），宋人，建昌人，為官者、王安石新法反對者、財政官員。,李常，宋人，籍貫建昌。生於1027年，卒於1090年。為官者、王安石新法反對者、財政官員。一生主要活動於建昌。與黃庭堅、蘇軾、王安石、范祖禹、杜汝霖等人交遊唱和。,81
1646,蔡齊,宋,蔡齊（988-1039），宋人，膠水人，財政官員、宰執。,蔡齊，宋人，籍貫膠水。生於988年，卒於1039年。為財政官員、宰執。一生主要活動於膠水。與張方平、范仲淹、歐陽修、郭勸、楊偕等人交遊唱和。,70
1901,王曾,宋,王曾（978-1038），宋人，開封人，財政官員、宰執。,王曾，宋人，籍貫開封。生於978年，卒於1038年。為財政官員、宰執。一生主要活動於開封、益都。與宋祁、嵇穎、富弼、符惟忠、尹洙等人交遊唱和。,71
