作品编号	得分构型	作品类别
2022036136	000	软件应用与开发
2022019735	000	软件应用与开发
2022042886	000	物联网应用
2022007630	000	数媒静态设计
2022007629	000	数媒静态设计
2022034732	000	数媒静态设计专业组
2022019718	000	数媒静态设计
2022034464	000	软件应用与开发
2022014819	000	人工智能应用
2022007978	000	信息可视化设计
2022035733	000	信息可视化设计
2022039237	000	人工智能应用
2022007776	000	软件应用与开发
2022008662	000	数媒游戏与交互设计
2022020241	000	人工智能应用
2022032909	000	数媒静态设计专业组
2022041475	000	数媒静态设计专业组
2022032565	000	数媒静态设计专业组
2022010041	000	软件应用与开发
2022035471	000	微课与教学辅助
2022035582	000	微课与教学辅助
2022007815	000	大数据应用
2022035473	000	软件应用与开发
2022032316	000	数媒游戏与交互设计
2022019154	000	人工智能应用
2022032231	000	信息可视化设计
2022042764	000	数媒游戏与交互设计专业组
2022004675	000	数媒动漫与短片
2022010024	000	微课与教学辅助
2022032182	000	微课与教学辅助
2022043106	000	数媒动漫与短片专业组
2022032154	000	数媒静态设计专业组
2022010298	000	软件应用与开发
2022031211	000	数媒游戏与交互设计
2022035218	000	数媒动漫与短片专业组
2022035196	000	人工智能应用
2022035280	000	数媒静态设计
2022030928	000	数媒静态设计
2022007876	000	人工智能应用
2022010378	000	微课与教学辅助
2022012484	000	软件应用与开发
2022030489	000	数媒动漫与短片
2022021005	000	人工智能应用
2022008937	000	数媒动漫与短片
2022034909	000	数媒动漫与短片专业组
2022030004	000	微课与教学辅助
2022007940	000	数媒动漫与短片
2022043378	000	数媒静态设计
2022028740	000	微课与教学辅助
2022023212	000	大数据应用
2022034679	000	数媒游戏与交互设计
2022029008	000	人工智能应用
2022018520	000	软件应用与开发
2022011841	000	软件应用与开发
2022034171	000	数媒静态设计专业组
2022009326	000	物联网应用
2022010001	000	信息可视化设计
2022018164	000	数媒游戏与交互设计专业组
2022009905	000	数媒静态设计
2022043977	000	数媒动漫与短片
2022006287	000	人工智能应用
2022033817	000	数媒动漫与短片
2022038608	000	微课与教学辅助
2022014827	000	软件应用与开发
2022033956	000	软件应用与开发
2022018142	000	人工智能应用
2022033811	000	信息可视化设计
2022038451	000	数媒动漫与短片
2022017827	000	软件应用与开发
2022038551	000	微课与教学辅助
2022036892	000	软件应用与开发
2022006025	000	人工智能应用
2022038758	000	软件应用与开发
2022017066	000	信息可视化设计
2022033586	000	数媒动漫与短片
2022038942	000	数媒动漫与短片
2022033235	000	大数据应用
2022038778	000	数媒游戏与交互设计
2022039074	000	软件应用与开发
2022008689	000	微课与教学辅助
2022021848	000	软件应用与开发
2022038981	000	数媒游戏与交互设计
2022037027	000	大数据应用
2022007516	000	大数据应用
2022039514	000	人工智能应用
2022039146	000	大数据应用
2022032867	000	微课与教学辅助
2022021883	000	信息可视化设计
2022032878	000	微课与教学辅助
2022014792	000	微课与教学辅助
2022032853	000	数媒游戏与交互设计
2022032677	000	微课与教学辅助
2022022072	000	软件应用与开发
2022040438	000	软件应用与开发
2022032570	000	信息可视化设计
2022014581	000	数媒静态设计
2022040454	000	数媒静态设计专业组
2022040329	000	数媒动漫与短片
2022014432	000	微课与教学辅助
2022040409	000	软件应用与开发
2022008697	000	数媒游戏与交互设计
2022005594	000	微课与教学辅助
2022005504	000	软件应用与开发
2022014522	000	微课与教学辅助
2022014047	000	微课与教学辅助
2022016765	000	人工智能应用
2022032355	000	微课与教学辅助
2022014186	000	大数据应用
2022037121	000	微课与教学辅助
2022041138	000	微课与教学辅助
2022037133	000	微课与教学辅助
2022005392	000	信息可视化设计
2022041857	000	微课与教学辅助
2022016750	000	数媒游戏与交互设计专业组
2022022142	000	微课与教学辅助
2022041848	000	软件应用与开发
2022014045	000	大数据应用
2022041879	000	人工智能应用
2022041957	000	信息可视化设计
2022037249	000	数媒静态设计专业组
2022032277	000	微课与教学辅助
2022041945	000	人工智能应用
2022037283	000	数媒动漫与短片
2022041963	000	数媒动漫与短片
2022013796	000	微课与教学辅助
2022037313	000	信息可视化设计
2022022329	000	数媒静态设计
2022042472	000	软件应用与开发
2022037365	000	数媒动漫与短片专业组
2022013706	000	软件应用与开发
2022016664	000	信息可视化设计
2022013628	000	软件应用与开发
2022016179	000	微课与教学辅助
2022042771	000	数媒动漫与短片
2022042784	000	数媒动漫与短片
2022013604	000	软件应用与开发
2022032164	000	数媒游戏与交互设计
2022013594	000	软件应用与开发
2022031586	000	微课与教学辅助
2022042789	000	数媒动漫与短片专业组
2022004424	000	微课与教学辅助
2022042819	000	信息可视化设计
2022032039	000	物联网应用
2022042837	000	信息可视化设计
2022031392	000	人工智能应用
2022042845	000	数媒动漫与短片专业组
2022042900	000	数媒动漫与短片专业组
2022013556	000	微课与教学辅助
2022022362	000	物联网应用
2022042879	000	微课与教学辅助
2022042965	000	信息可视化设计
2022008929	000	软件应用与开发
2022031156	000	数媒动漫与短片
2022013401	000	软件应用与开发
2022015849	000	微课与教学辅助
2022042956	000	数媒游戏与交互设计专业组
2022037423	000	数媒动漫与短片
2022042982	000	微课与教学辅助
2022007330	000	微课与教学辅助
2022013328	000	软件应用与开发
2022043050	000	微课与教学辅助
2022043005	000	数媒动漫与短片
2022043083	000	软件应用与开发
2022010302	000	人工智能应用
2022008931	000	物联网应用
2022037473	000	数媒动漫与短片专业组
2022037489	000	软件应用与开发
2022012955	000	微课与教学辅助
2022043155	000	数媒动漫与短片
2022012785	000	数媒游戏与交互设计
2022012733	000	数媒静态设计
2022012748	000	信息可视化设计
2022043212	000	微课与教学辅助
2022043142	000	微课与教学辅助
2022022720	000	软件应用与开发
2022043166	000	微课与教学辅助
2022015833	000	微课与教学辅助
2022043195	000	微课与教学辅助
2022043257	000	软件应用与开发
2022012718	000	人工智能应用
2022023010	000	数媒静态设计专业组
2022043265	000	微课与教学辅助
2022010231	000	数媒游戏与交互设计专业组
2022010510	000	数媒游戏与交互设计
2022007282	000	大数据应用
2022043324	000	微课与教学辅助
2022037550	000	数媒游戏与交互设计专业组
2022043343	000	信息可视化设计
2022043371	000	信息可视化设计
2022043345	000	信息可视化设计
2022030116	000	数媒动漫与短片
2022012419	000	软件应用与开发
2022043388	000	数媒动漫与短片专业组
2022043376	000	数媒静态设计
2022008993	000	信息可视化设计
2022029931	000	微课与教学辅助
2022029989	000	微课与教学辅助
2022004244	000	信息可视化设计
2022043436	000	数媒动漫与短片
2022043414	000	数媒静态设计
2022009060	000	微课与教学辅助
2022043515	000	数媒静态设计专业组
2022023495	000	数媒静态设计
2022043497	000	数媒静态设计专业组
2022009071	000	软件应用与开发
2022037587	000	数媒动漫与短片
2022029109	000	数媒游戏与交互设计
2022043488	000	数媒静态设计
2022015483	000	微课与教学辅助
2022043513	000	软件应用与开发
2022012303	000	微课与教学辅助
2022014862	000	信息可视化设计
2022029040	000	数媒游戏与交互设计
2022012192	000	数媒静态设计
2022003448	000	软件应用与开发
2022003672	000	数媒游戏与交互设计
2022023497	000	软件应用与开发
2022043686	000	数媒游戏与交互设计专业组
2022009076	000	软件应用与开发
2022043651	000	数媒游戏与交互设计专业组
2022043704	000	微课与教学辅助
2022043656	000	数媒静态设计
2022028243	000	信息可视化设计
2022002831	000	信息可视化设计
2022027559	000	软件应用与开发
2022043709	000	微课与教学辅助
